"Year","Price","Model","Source"
1906,25000,"Wright Model A","http://en.wikipedia.org/wiki/Wright_Model_A"
1929,13000,"P-6 Hawk","http://en.wikipedia.org/wiki/Curtiss_P-6_Hawk"
1935,23000,"P-36 Mohawk","http://en.wikipedia.org/wiki/Curtiss_P-36_Hawk"
1939,44892,"P-40 Kittyhawk","http://en.wikipedia.org/wiki/Curtiss_P-40_Warhawk"
1942,242595,"A-26 Invader","http://en.wikipedia.org/wiki/A-26_Invader"
1945,50985,"P-51 Mustang","http://en.wikipedia.org/wiki/P-51_Mustang"
1945,85000,"P-47 Thunderbolt","http://en.wikipedia.org/wiki/F-47"
1950,196248,"F-94B Starfire","http://en.wikipedia.org/wiki/Lockheed_F-97_Starfire"
1954,697029,"F-100 Super Sabre","http://en.wikipedia.org/wiki/North_American_F-100_Super_Sabre"
1955,1443000,"B-52B","http://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress"
1958,1420000,"F-104 Starfighter","http://en.wikipedia.org/wiki/Lockheed_F-104_Starfighter"
1960,2400000,"F-4E","http://en.wikipedia.org/wiki/McDonnell_Douglas_F-4_Phantom_II"
1964,9800000,"F-111","http://en.wikipedia.org/wiki/General_Dynamics_F-111"
1970,38000000,"F-14 Tomcat","http://en.wikipedia.org/wiki/F-14_Tomcat"
1972,11800000,"A-10 Thunderbolt","http://en.wikipedia.org/wiki/Fairchild_Republic_A-10_Thunderbolt_II"
1976,27900000,"F-15 Eagle","http://en.wikipedia.org/wiki/F-15_Eagle"
1978,14600000,"F-16A/B Falcon","http://en.wikipedia.org/wiki/F-16_Falcon"
1984,18800000,"F-16C/D Falcon","http://en.wikipedia.org/wiki/F-16_Falcon"
1989,26900000,"F-16E/F Falcon","http://en.wikipedia.org/wiki/F-16_Falcon"
1983,24000000,"F-18A Hornet","http://www.fighter-planes.com/info/f18.htm"
1995,35000000,"F-18E Hornet","http://www.fighter-planes.com/info/f18.htm"
1998,53400000,"B-52H","http://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress"
2005,150000000,"F/A-22 Raptor","http://www.fighter-planes.com/info/f22.htm"
2006,191900000,"F-35 Lightning","http://en.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II"
